0_coordinate1	1_coordinate1
0_coordinate2	7_coordinate2
0_coordinate3	11_coordinate3
0_coordinate4	15_coordinate4
0_coordinate5	17_coordinate5
0_coordinate6	22_coordinate6
0_coordinate7	25_coordinate7
0_coordinate8	28_coordinate8
0_coordinate9	32_coordinate9
0_coordinate10	34_coordinate10
0_coordinate11	37_coordinate11
0_coordinate12	43_coordinate12
0_coordinate13	46_coordinate13
0_coordinate14	50_coordinate14
0_coordinate15	59_coordinate15
0_coordinate16	63_coordinate16
0_coordinate17	65_coordinate17
0_coordinate18	68_coordinate18
0_coordinate19	73_coordinate19
0_coordinate20	79_coordinate20
0_coordinate21	82_coordinate21
0_coordinate22	84_coordinate22
0_coordinate23	87_coordinate23
0_coordinate24	90_coordinate24
0_coordinate25	93_coordinate25
0_coordinate26	95_coordinate26
0_coordinate27	98_coordinate27
0_coordinate28	106_coordinate28
0_coordinate29	110_coordinate29
0_coordinate30	113_coordinate30
0_coordinate31	118_coordinate31
0_coordinate32	122_coordinate32
0_coordinate33	127_coordinate33
0_coordinate34	132_coordinate34
0_coordinate35	137_coordinate35
0_coordinate36	139_coordinate36
0_coordinate37	144_coordinate37
0_coordinate38	147_coordinate38
0_coordinate39	152_coordinate39
0_coordinate40	157_coordinate40
0_coordinate41	163_coordinate41
0_coordinate42	166_coordinate42
0_coordinate43	169_coordinate43
0_coordinate44	172_coordinate44
0_coordinate45	180_coordinate45
0_coordinate46	185_coordinate46
0_coordinate47	188_coordinate47
0_coordinate48	190_coordinate48
0_coordinate49	194_coordinate49
0_coordinate50	199_coordinate50
0_coordinate51	202_coordinate51
0_coordinate52	208_coordinate52
0_coordinate53	212_coordinate53
0_coordinate54	216_coordinate54
0_coordinate55	219_coordinate55
0_coordinate56	223_coordinate56
0_coordinate57	232_coordinate57
0_coordinate58	236_coordinate58
0_coordinate59	241_coordinate59
0_coordinate60	244_coordinate60
0_coordinate61	247_coordinate61
0_coordinate62	249_coordinate62
0_coordinate63	251_coordinate63
0_coordinate64	255_coordinate64
0_coordinate65	260_coordinate65
0_coordinate66	262_coordinate66
